ORDER_MONTH,PURCHASES,ACTIVE_CUSTOMERS,FIRST_OBSERVED_PURCHASES,MERCHANDISE_REVENUE,SERVICE_FEE_REVENUE,COURIER_COST,AVG_BASKET_VALUE,AVG_DELIVERY_DISTANCE_KM,RAPID_REPEAT_CANDIDATES,RAPID_REPEAT_CANDIDATE_SHARE_PCT
2023-01-01,5333,1456,1456,23717.01,7514.36,10072.46,4.45,3.50,276,5.18
2023-02-01,5722,1446,273,25011.91,8050.56,10785.55,4.37,3.46,391,6.83
2023-03-01,7666,1594,153,33390.68,10730.79,14427.75,4.36,3.44,646,8.43
2023-04-01,6685,1568,51,29627.06,9246.79,12582.86,4.43,3.44,505,7.55
2023-05-01,7223,1582,40,31624.01,10100.09,13608.47,4.38,3.46,549,7.60
2023-06-01,6631,1608,20,28677.77,9296.84,12512.57,4.32,3.48,658,9.92
2023-07-01,6930,1585,6,30487.56,9683.38,13035.33,4.40,3.43,550,7.94
2023-08-01,8530,1696,2,37402.10,11779.25,16126.90,4.38,3.52,808,9.47
2023-09-01,10031,1768,0,44848.92,13821.43,19004.40,4.47,3.55,1344,13.40
2023-10-01,10623,1828,0,48038.47,14669.27,20039.20,4.52,3.48,954,8.98
2023-11-01,9722,1812,0,49158.44,13847.12,18365.02,5.06,3.50,839,8.63
2023-12-01,9726,1816,0,45714.21,13746.32,18377.10,4.70,3.50,879,9.04
