ITEM_KEY,CURRENT_ITEM_NAME,CURRENT_ITEM_CATEGORY,UNITS,PURCHASES,CUSTOMERS,UNITS_PER_PURCHASE,PROMO_UNITS,PROMO_UNIT_SHARE_PCT,PRICE_ROW_COVERAGE_PCT
7aef490acb1ca55f113afe02977b9e8f,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,47136,29712,1985,1.59,2990,6.34,100.00
e9c4aa9e65917445495602a4adc16675,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",Crisp & Snacks,41442,31994,1997,1.30,3827,9.23,100.00
2f605027e796b8c1d897c6100903c6d7,"Fuego salsa dip, mild, 200 ml","Cheese Crackers, Breadsticks & Dipping",8268,7081,1592,1.17,221,2.67,100.00
7581487f9a0d33775d570f020b0e4141,"Yogurette Strawberry Yogurt Chocolate, 100 g",Chocolate,2817,2048,620,1.38,240,8.52,100.00
0e706671fbc1c66c6276653846b1c1ac,"Ferrero Kinder Country Chocolate Bar, (9x23,5 g), 211,5 g",Chocolate,2343,2092,743,1.12,21,0.90,100.00
0057c74ea984d23e711ccc0c0d224e5a,"Doritos Cheese Nachos, 110 g",Crisp & Snacks,2136,1971,689,1.08,26,1.22,100.00
a5e0be3a6e03f5ca59260103e58835d2,"Lay's Salt & Vinegar Crisps, 150 g",Crisp & Snacks,2014,1944,779,1.04,75,3.72,100.00
971c3d87aff5615604a3d1ef052d8cd9,"Chio Dip Hot Cheese, 200 ml","Cheese Crackers, Breadsticks & Dipping",1942,1854,802,1.05,129,6.64,100.00
d3dffe73c943311024ef5b4b71e3f598,"Lay's Crips herb butter flavour, 150 g",Crisp & Snacks,1811,1741,736,1.04,40,2.21,100.00
514473c47399dfac41b754ddf7fd5d94,"Funny-Frisch Lentil Crisps Paprika Style, 90 g",Crisp & Snacks,1708,1632,642,1.05,33,1.93,100.00
edb0f4aa63864fc9a85372d15cb65440,Ja! Cookies American Style Chocolate Chip 225 g,Cookies,1680,1365,474,1.23,43,2.56,100.00
13fe423f6a47156a00beee842eafc061,"Lorenz Naturals Rosemary Crisps, 95 g",Crisp & Snacks,1676,1622,644,1.03,0,0.00,100.00
e98605036c98cd2c57d3eaf01e1c49ad,"Ritter Sport Chocolate Wafer, 100 g",Chocolate,1675,923,362,1.81,124,7.40,100.00
9b6c1ac419e38739c6276dcdb788bdcf,"Funny-Frisch Kettle Chips Salt & Vinegar, 120 g",Crisp & Snacks,1669,1608,614,1.04,17,1.02,100.00
0aec6d843c7bd4fd176e7f6376dfb0c8,"Funny-Frisch Riffels Natural, 150 g",Crisp & Snacks,1608,1499,620,1.07,89,5.53,100.00
7576ff6ee76ca4dfc28bf4fbaaf08465,"Ferrero Kinder Riegel Chocolate Bar, (10x21 g), 210 g",Chocolate,1474,1402,586,1.05,24,1.63,100.00
92d78ca20860dd50a1748fe2b0c8dc78,"Storck Mini Dickmann’s Chocolate Trio, (24 units), 200 g",Other Confectionary,1415,910,338,1.55,77,5.44,100.00
5d3969ae02b82a2e1f84457d03fedcab,"Ferrero Kinder Riegel Chocolate Bar, (18x21 g), 378 g",Chocolate,1406,937,302,1.50,121,8.61,100.00
64f36aa14d1921b5f20921a6fb8b8bc0,"Chio Tortillas Original Salted, 110 g",Crisp & Snacks,1401,1365,599,1.03,60,4.28,100.00
782c2fdec7b604daefea9bf7b783a7bb,Crunchips Western Style Potato Chips 150 g,Crisp & Snacks,1397,1332,539,1.05,125,8.95,100.00
564b722b1d92225859390ea030ddd983,"Ferrero Kinder Bueno White Chocolate Bar, (6x19,5 g), 117 g",Chocolate,1383,1363,556,1.01,36,2.60,100.00
1d3842663f6e6e8ab20a245bc43b72a0,"Knoppers Crispy Wafer, (8x25 g), 200 g",Chocolate,1362,1108,489,1.23,86,6.31,100.00
5dcef824f2fd5224744a86e4c7dd250d,"Crunchips Cheese & Onion Crisps, 150 g",Crisp & Snacks,1344,1308,517,1.03,54,4.02,100.00
898f47cb5c754158245b1b236d3df7e6,"Fuego guacamole dip, 200 ml","Cheese Crackers, Breadsticks & Dipping",1339,1292,609,1.04,0,0.00,100.00
dcc2ec0c38ed411a5d9295751328a464,"Pringles Sour Cream & Onion Chips, 165 g",Crisp & Snacks,1307,1244,537,1.05,41,3.14,100.00
8daf7c8493c249f143d4d72205f12405,"Nippon Häppchen puffed rice with milk chocolate, 200 g",Cookies,1284,978,379,1.31,21,1.64,100.00
03b69ef76960b93651906fa51bb5d44c,"Cadbury Milk Caramel Chocolate, 180 g",Chocolate,1268,931,314,1.36,13,1.03,100.00
ec3986f69034113171d2dd2bac845401,"Fuego salsa dip, hot, 200 ml","Cheese Crackers, Breadsticks & Dipping",1210,1115,539,1.09,20,1.65,100.00
b9c5d856f0380ca92e558a81c1a0c686,"Ritter Sport Honey-Salt-Almond Chocolate, 100 g",Chocolate,1208,1084,419,1.11,61,5.05,100.00
de2d83ff88ef56053a06b1e8686c5577,"Alnavit Chocolate Cookies, 125 g",Cookies,1191,1096,514,1.09,70,5.88,100.00
2b8d65b915a044b3570fd7f8a3a7d065,"Pom-Bär Original, 75 g",Crisp & Snacks,1131,1105,518,1.02,0,0.00,100.00
2247902fe615e4ad16d53af0070362da,"Ritter Sport Nut Class Whole Nut Chocolate, 100 g",Chocolate,1128,967,351,1.17,20,1.77,100.00
61d7a42ecec8482529b308f32ff598b1,"Hanuta Hazelnut Slice, (10x22 g), 220 g",Chocolate,1104,1057,441,1.04,53,4.80,100.00
