HISTORICAL_ITEM_CATEGORY,ITEM_KEY,ITEM_NAME,Q1_UNITS,Q4_UNITS,Q1_PURCHASES,Q4_PURCHASES,Q1_CUSTOMERS,Q4_CUSTOMERS,UNITS_ABSOLUTE_CHANGE,UNITS_CHANGE_PCT
Chocolate,7aef490acb1ca55f113afe02977b9e8f,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",,15968,,9061.0,,1774.0,15968,
Other Confectionary,7aef490acb1ca55f113afe02977b9e8f,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",8874,,5897.0,,1460.0,,-8874,-100.00
Crisp & Snacks,e9c4aa9e65917445495602a4adc16675,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",8483,13033,6558.0,9834.0,1575.0,1851.0,4550,53.64
"Cheese Crackers, Breadsticks & Dipping",2f605027e796b8c1d897c6100903c6d7,"Fuego salsa dip, mild, 200 ml",1597,2498,1353.0,2152.0,670.0,957.0,901,56.42
Chocolate,7581487f9a0d33775d570f020b0e4141,"Yogurette Strawberry Yogurt Chocolate, 100 g",433,1275,353.0,849.0,184.0,342.0,842,194.46
Crisp & Snacks,a5e0be3a6e03f5ca59260103e58835d2,"Lay's Salt & Vinegar Crisps, 150 g",350,754,331.0,721.0,200.0,411.0,404,115.43
Crisp & Snacks,0057c74ea984d23e711ccc0c0d224e5a,"Doritos Cheese Nachos, 110 g",297,696,280.0,635.0,166.0,310.0,399,134.34
Cookies,edb0f4aa63864fc9a85372d15cb65440,Ja! Cookies American Style Chocolate Chip 225 g,244,600,191.0,479.0,88.0,213.0,356,145.90
"Cheese Crackers, Breadsticks & Dipping",971c3d87aff5615604a3d1ef052d8cd9,"Chio Dip Hot Cheese, 200 ml",368,701,337.0,681.0,230.0,420.0,333,90.49
Other Confectionary,9457e16e60a76e40ad486d39b0c4a8b1,"Frigeo Crispy Puffed Rice, 80 g",,301,,260.0,,165.0,301,
Crisp & Snacks,0aec6d843c7bd4fd176e7f6376dfb0c8,"Funny-Frisch Riffels Natural, 150 g",288,584,253.0,552.0,165.0,310.0,296,102.78
Chocolate,bb8ba8e0cacb02d3fecb8478cf1be85c,"Reese’s Peanut Butter Cup Minis, 90 g",164,457,138.0,429.0,87.0,262.0,293,178.66
Other Confectionary,92d78ca20860dd50a1748fe2b0c8dc78,"Storck Mini Dickmann’s Chocolate Trio, (24 units), 200 g",238,513,184.0,275.0,112.0,132.0,275,115.55
Crisp & Snacks,514473c47399dfac41b754ddf7fd5d94,"Funny-Frisch Lentil Crisps Paprika Style, 90 g",269,532,254.0,514.0,161.0,302.0,263,97.77
Chocolate,1d3842663f6e6e8ab20a245bc43b72a0,"Knoppers Crispy Wafer, (8x25 g), 200 g",184,442,155.0,338.0,116.0,169.0,258,140.22
Crisp & Snacks,782c2fdec7b604daefea9bf7b783a7bb,Crunchips Western Style Potato Chips 150 g,237,478,230.0,448.0,137.0,250.0,241,101.69
Chocolate,d3ed3888a55bdc5f34aacbf9877850e1,"Tony’s Chocolonely Milk Chocolate, 32%, 180 g",141,371,137.0,351.0,82.0,208.0,230,163.12
Cookies,de2d83ff88ef56053a06b1e8686c5577,"Alnavit Chocolate Cookies, 125 g",220,450,186.0,408.0,116.0,230.0,230,104.55
Chocolate,61d7a42ecec8482529b308f32ff598b1,"Hanuta Hazelnut Slice, (10x22 g), 220 g",209,436,198.0,429.0,109.0,250.0,227,108.61
Crisp & Snacks,9b6c1ac419e38739c6276dcdb788bdcf,"Funny-Frisch Kettle Chips Salt & Vinegar, 120 g",351,538,328.0,531.0,185.0,286.0,187,53.28
Cookies,8daf7c8493c249f143d4d72205f12405,"Nippon Häppchen puffed rice with milk chocolate, 200 g",168,353,134.0,275.0,89.0,152.0,185,110.12
Chocolate,03b69ef76960b93651906fa51bb5d44c,"Cadbury Milk Caramel Chocolate, 180 g",257,430,183.0,301.0,96.0,126.0,173,67.32
