ITEM_A_KEY,ITEM_A_NAME,ITEM_A_CATEGORY,ITEM_B_KEY,ITEM_B_NAME,ITEM_B_CATEGORY,PAIR_PURCHASES,ITEM_A_PURCHASES,ITEM_B_PURCHASES,SUPPORT_PCT,CONFIDENCE_A_TO_B_PCT,CONFIDENCE_B_TO_A_PCT,LIFT
2f605027e796b8c1d897c6100903c6d7,"Fuego salsa dip, mild, 200 ml","Cheese Crackers, Breadsticks & Dipping",e9c4aa9e65917445495602a4adc16675,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",Crisp & Snacks,3303,7081,31994,3.483,46.65,10.32,1.382
971c3d87aff5615604a3d1ef052d8cd9,"Chio Dip Hot Cheese, 200 ml","Cheese Crackers, Breadsticks & Dipping",e9c4aa9e65917445495602a4adc16675,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",Crisp & Snacks,967,1854,31994,1.020,52.16,3.02,1.546
7581487f9a0d33775d570f020b0e4141,"Yogurette Strawberry Yogurt Chocolate, 100 g",Chocolate,7aef490acb1ca55f113afe02977b9e8f,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,735,2048,29712,0.775,35.89,2.47,1.145
898f47cb5c754158245b1b236d3df7e6,"Fuego guacamole dip, 200 ml","Cheese Crackers, Breadsticks & Dipping",e9c4aa9e65917445495602a4adc16675,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",Crisp & Snacks,704,1292,31994,0.742,54.49,2.20,1.615
e9c4aa9e65917445495602a4adc16675,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",Crisp & Snacks,ec3986f69034113171d2dd2bac845401,"Fuego salsa dip, hot, 200 ml","Cheese Crackers, Breadsticks & Dipping",597,31994,1115,0.630,1.87,53.54,1.587
0e706671fbc1c66c6276653846b1c1ac,"Ferrero Kinder Country Chocolate Bar, (9x23,5 g), 211,5 g",Chocolate,7aef490acb1ca55f113afe02977b9e8f,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,549,2092,29712,0.579,26.24,1.85,0.838
9b6c1ac419e38739c6276dcdb788bdcf,"Funny-Frisch Kettle Chips Salt & Vinegar, 120 g",Crisp & Snacks,e9c4aa9e65917445495602a4adc16675,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",Crisp & Snacks,514,1608,31994,0.542,31.97,1.61,0.947
0057c74ea984d23e711ccc0c0d224e5a,"Doritos Cheese Nachos, 110 g",Crisp & Snacks,e9c4aa9e65917445495602a4adc16675,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",Crisp & Snacks,505,1971,31994,0.533,25.62,1.58,0.759
13fe423f6a47156a00beee842eafc061,"Lorenz Naturals Rosemary Crisps, 95 g",Crisp & Snacks,e9c4aa9e65917445495602a4adc16675,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",Crisp & Snacks,498,1622,31994,0.525,30.70,1.56,0.910
514473c47399dfac41b754ddf7fd5d94,"Funny-Frisch Lentil Crisps Paprika Style, 90 g",Crisp & Snacks,e9c4aa9e65917445495602a4adc16675,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",Crisp & Snacks,488,1632,31994,0.515,29.90,1.53,0.886
0aec6d843c7bd4fd176e7f6376dfb0c8,"Funny-Frisch Riffels Natural, 150 g",Crisp & Snacks,e9c4aa9e65917445495602a4adc16675,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",Crisp & Snacks,473,1499,31994,0.499,31.55,1.48,0.935
564b722b1d92225859390ea030ddd983,"Ferrero Kinder Bueno White Chocolate Bar, (6x19,5 g), 117 g",Chocolate,7aef490acb1ca55f113afe02977b9e8f,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,440,1363,29712,0.464,32.28,1.48,1.030
d3dffe73c943311024ef5b4b71e3f598,"Lay's Crips herb butter flavour, 150 g",Crisp & Snacks,e9c4aa9e65917445495602a4adc16675,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",Crisp & Snacks,440,1741,31994,0.464,25.27,1.38,0.749
7aef490acb1ca55f113afe02977b9e8f,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,92d78ca20860dd50a1748fe2b0c8dc78,"Storck Mini Dickmann’s Chocolate Trio, (24 units), 200 g",Other Confectionary,436,29712,910,0.460,1.47,47.91,1.529
a5e0be3a6e03f5ca59260103e58835d2,"Lay's Salt & Vinegar Crisps, 150 g",Crisp & Snacks,e9c4aa9e65917445495602a4adc16675,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",Crisp & Snacks,436,1944,31994,0.460,22.43,1.36,0.665
1d3842663f6e6e8ab20a245bc43b72a0,"Knoppers Crispy Wafer, (8x25 g), 200 g",Chocolate,7aef490acb1ca55f113afe02977b9e8f,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,412,1108,29712,0.434,37.18,1.39,1.187
7576ff6ee76ca4dfc28bf4fbaaf08465,"Ferrero Kinder Riegel Chocolate Bar, (10x21 g), 210 g",Chocolate,7aef490acb1ca55f113afe02977b9e8f,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,406,1402,29712,0.428,28.96,1.37,0.924
7aef490acb1ca55f113afe02977b9e8f,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,b9c5d856f0380ca92e558a81c1a0c686,"Ritter Sport Honey-Salt-Almond Chocolate, 100 g",Chocolate,394,29712,1084,0.416,1.33,36.35,1.160
782c2fdec7b604daefea9bf7b783a7bb,Crunchips Western Style Potato Chips 150 g,Crisp & Snacks,e9c4aa9e65917445495602a4adc16675,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",Crisp & Snacks,393,1332,31994,0.414,29.50,1.23,0.874
5d3969ae02b82a2e1f84457d03fedcab,"Ferrero Kinder Riegel Chocolate Bar, (18x21 g), 378 g",Chocolate,7aef490acb1ca55f113afe02977b9e8f,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,391,937,29712,0.412,41.73,1.32,1.332
03b69ef76960b93651906fa51bb5d44c,"Cadbury Milk Caramel Chocolate, 180 g",Chocolate,7aef490acb1ca55f113afe02977b9e8f,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,389,931,29712,0.410,41.78,1.31,1.333
dcc2ec0c38ed411a5d9295751328a464,"Pringles Sour Cream & Onion Chips, 165 g",Crisp & Snacks,e9c4aa9e65917445495602a4adc16675,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",Crisp & Snacks,373,1244,31994,0.393,29.98,1.17,0.889
61d7a42ecec8482529b308f32ff598b1,"Hanuta Hazelnut Slice, (10x22 g), 220 g",Chocolate,7aef490acb1ca55f113afe02977b9e8f,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,362,1057,29712,0.382,34.25,1.22,1.093
5dcef824f2fd5224744a86e4c7dd250d,"Crunchips Cheese & Onion Crisps, 150 g",Crisp & Snacks,e9c4aa9e65917445495602a4adc16675,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",Crisp & Snacks,360,1308,31994,0.380,27.52,1.13,0.816
7aef490acb1ca55f113afe02977b9e8f,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,e98605036c98cd2c57d3eaf01e1c49ad,"Ritter Sport Chocolate Wafer, 100 g",Chocolate,341,29712,923,0.360,1.15,36.94,1.179
64f36aa14d1921b5f20921a6fb8b8bc0,"Chio Tortillas Original Salted, 110 g",Crisp & Snacks,e9c4aa9e65917445495602a4adc16675,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",Crisp & Snacks,340,1365,31994,0.359,24.91,1.06,0.738
2f605027e796b8c1d897c6100903c6d7,"Fuego salsa dip, mild, 200 ml","Cheese Crackers, Breadsticks & Dipping",a5e0be3a6e03f5ca59260103e58835d2,"Lay's Salt & Vinegar Crisps, 150 g",Crisp & Snacks,337,7081,1944,0.355,4.76,17.34,2.321
7aef490acb1ca55f113afe02977b9e8f,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,edb0f4aa63864fc9a85372d15cb65440,Ja! Cookies American Style Chocolate Chip 225 g,Cookies,323,29712,1365,0.341,1.09,23.66,0.755
7aef490acb1ca55f113afe02977b9e8f,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,bb8ba8e0cacb02d3fecb8478cf1be85c,"Reese’s Peanut Butter Cup Minis, 90 g",Chocolate,314,29712,909,0.331,1.06,34.54,1.102
7aef490acb1ca55f113afe02977b9e8f,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",Chocolate,d3ed3888a55bdc5f34aacbf9877850e1,"Tony’s Chocolonely Milk Chocolate, 32%, 180 g",Chocolate,304,29712,903,0.321,1.02,33.67,1.074
2f605027e796b8c1d897c6100903c6d7,"Fuego salsa dip, mild, 200 ml","Cheese Crackers, Breadsticks & Dipping",782c2fdec7b604daefea9bf7b783a7bb,Crunchips Western Style Potato Chips 150 g,Crisp & Snacks,279,7081,1332,0.294,3.94,20.95,2.805
