ITEM_A_KEY,ITEM_A_NAME,ITEM_B_KEY,ITEM_B_NAME,PAIR_PURCHASES,SUPPORT_PCT,LIFT
2f605027e796b8c1d897c6100903c6d7,"Fuego salsa dip, mild, 200 ml",e9c4aa9e65917445495602a4adc16675,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",3147,3.641,1.397
971c3d87aff5615604a3d1ef052d8cd9,"Chio Dip Hot Cheese, 200 ml",e9c4aa9e65917445495602a4adc16675,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",920,1.065,1.543
7581487f9a0d33775d570f020b0e4141,"Yogurette Strawberry Yogurt Chocolate, 100 g",7aef490acb1ca55f113afe02977b9e8f,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",714,0.826,1.181
898f47cb5c754158245b1b236d3df7e6,"Fuego guacamole dip, 200 ml",e9c4aa9e65917445495602a4adc16675,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",674,0.780,1.615
e9c4aa9e65917445495602a4adc16675,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",ec3986f69034113171d2dd2bac845401,"Fuego salsa dip, hot, 200 ml",575,0.665,1.591
0e706671fbc1c66c6276653846b1c1ac,"Ferrero Kinder Country Chocolate Bar, (9x23,5 g), 211,5 g",7aef490acb1ca55f113afe02977b9e8f,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",527,0.610,0.868
9b6c1ac419e38739c6276dcdb788bdcf,"Funny-Frisch Kettle Chips Salt & Vinegar, 120 g",e9c4aa9e65917445495602a4adc16675,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",499,0.577,0.970
13fe423f6a47156a00beee842eafc061,"Lorenz Naturals Rosemary Crisps, 95 g",e9c4aa9e65917445495602a4adc16675,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",479,0.554,0.928
0057c74ea984d23e711ccc0c0d224e5a,"Doritos Cheese Nachos, 110 g",e9c4aa9e65917445495602a4adc16675,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",471,0.545,0.815
514473c47399dfac41b754ddf7fd5d94,"Funny-Frisch Lentil Crisps Paprika Style, 90 g",e9c4aa9e65917445495602a4adc16675,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",466,0.539,0.907
0aec6d843c7bd4fd176e7f6376dfb0c8,"Funny-Frisch Riffels Natural, 150 g",e9c4aa9e65917445495602a4adc16675,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",461,0.533,0.963
