ITEM_KEY,ITEM_NAME,ALL_UNITS,CLEAN_UNITS,CANDIDATE_UNITS,CANDIDATE_UNIT_SHARE_PCT
7aef490acb1ca55f113afe02977b9e8f,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",47136,43215,3921,8.32
e9c4aa9e65917445495602a4adc16675,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",41442,38191,3251,7.84
2f605027e796b8c1d897c6100903c6d7,"Fuego salsa dip, mild, 200 ml",8268,7729,539,6.52
7581487f9a0d33775d570f020b0e4141,"Yogurette Strawberry Yogurt Chocolate, 100 g",2817,2655,162,5.75
0e706671fbc1c66c6276653846b1c1ac,"Ferrero Kinder Country Chocolate Bar, (9x23,5 g), 211,5 g",2343,2163,180,7.68
0057c74ea984d23e711ccc0c0d224e5a,"Doritos Cheese Nachos, 110 g",2136,1818,318,14.89
a5e0be3a6e03f5ca59260103e58835d2,"Lay's Salt & Vinegar Crisps, 150 g",2014,1872,142,7.05
971c3d87aff5615604a3d1ef052d8cd9,"Chio Dip Hot Cheese, 200 ml",1942,1835,107,5.51
d3dffe73c943311024ef5b4b71e3f598,"Lay's Crips herb butter flavour, 150 g",1811,1714,97,5.36
514473c47399dfac41b754ddf7fd5d94,"Funny-Frisch Lentil Crisps Paprika Style, 90 g",1708,1579,129,7.55
edb0f4aa63864fc9a85372d15cb65440,Ja! Cookies American Style Chocolate Chip 225 g,1680,1556,124,7.38
13fe423f6a47156a00beee842eafc061,"Lorenz Naturals Rosemary Crisps, 95 g",1676,1566,110,6.56
e98605036c98cd2c57d3eaf01e1c49ad,"Ritter Sport Chocolate Wafer, 100 g",1675,1544,131,7.82
9b6c1ac419e38739c6276dcdb788bdcf,"Funny-Frisch Kettle Chips Salt & Vinegar, 120 g",1669,1568,101,6.05
0aec6d843c7bd4fd176e7f6376dfb0c8,"Funny-Frisch Riffels Natural, 150 g",1608,1509,99,6.16
7576ff6ee76ca4dfc28bf4fbaaf08465,"Ferrero Kinder Riegel Chocolate Bar, (10x21 g), 210 g",1474,1319,155,10.52
92d78ca20860dd50a1748fe2b0c8dc78,"Storck Mini Dickmann’s Chocolate Trio, (24 units), 200 g",1415,1331,84,5.94
5d3969ae02b82a2e1f84457d03fedcab,"Ferrero Kinder Riegel Chocolate Bar, (18x21 g), 378 g",1406,1327,79,5.62
64f36aa14d1921b5f20921a6fb8b8bc0,"Chio Tortillas Original Salted, 110 g",1401,1286,115,8.21
782c2fdec7b604daefea9bf7b783a7bb,Crunchips Western Style Potato Chips 150 g,1397,1263,134,9.59
564b722b1d92225859390ea030ddd983,"Ferrero Kinder Bueno White Chocolate Bar, (6x19,5 g), 117 g",1383,1260,123,8.89
1d3842663f6e6e8ab20a245bc43b72a0,"Knoppers Crispy Wafer, (8x25 g), 200 g",1362,1220,142,10.43
5dcef824f2fd5224744a86e4c7dd250d,"Crunchips Cheese & Onion Crisps, 150 g",1344,1178,166,12.35
